Site Tag,Site Age,Site Latitude (N),Site Longitude (E),Site Declination,Site Inclination,a95,Weight,Euler Pole Latitude (N),Euler Pole Longitude (E),Euler Pole Rotation Angle
HN13,2.33,64.804,345.225,195,-62.6,1.7,1,0,0,0
HN3,3.13,64.651,345.396,135.9,-80,2.6,1,0,0,0
HN4,2.84,64.706,345.339,170.2,-79.8,2.3,1,0,0,0
HN5,2.37,64.796,345.244,161.5,-79.7,0.9,1,0,0,0
HN6,2.37,64.795,345.242,208,-79.1,1.7,1,0,0,0
HN7,2.37,64.795,345.242,192.1,-67.5,2.8,1,0,0,0
HN8,2.37,64.795,345.242,207.3,-67.5,0.9,1,0,0,0
HN9,2.33,64.804,345.231,239.7,-84.4,2.5,1,0,0,0
KG0:KGA0,1.85,64.821,345.043,176.6,-62.6,1.6,1,0,0,0
KG7,1.67,64.86,345,160.7,-65.5,2.3,1,0,0,0
KG8,1.67,64.86,345,171.6,-59.7,2,1,0,0,0
KG9,1.49,64.895,344.963,162.3,-59.1,2.3,1,0,0,0
TH0,1,64.922,344.666,253.5,-81.2,2.7,1,0,0,0
TH1,1.46,64.839,344.76,191.8,-77.8,2.2,1,0,0,0
TH10,0.91,64.957,344.637,164.2,-71.7,2.8,1,0,0,0
TH11,1.1,64.922,344.673,194.4,-61.5,2.9,1,0,0,0
TH12,1,64.942,344.652,198.5,-61.7,2.6,1,0,0,0
TH13,1,64.935,344.645,149.4,-76.2,2.2,1,0,0,0
TH15,1,64.955,344.616,156.3,-66.3,2.9,1,0,0,0
TH2,1.26,64.877,344.719,89.3,-86.7,1.5,1,0,0,0
TH3,1,64.927,344.664,118.5,-89.2,1.2,1,0,0,0
TH4,1,64.928,344.662,155.6,-85.6,4.3,1,0,0,0
TH5,1.26,64.882,344.713,161.3,-72,2.8,1,0,0,0
TH6,1.26,64.885,344.713,202.3,-68.2,1.8,1,0,0,0
TH7,0.98,64.944,344.651,132.3,-79.8,3.2,1,0,0,0
TH8,1.02,64.936,344.659,175.4,-78.7,2.4,1,0,0,0
TH9,1.19,64.904,344.694,172.7,-73.4,2,1,0,0,0
THA0,1.51,64.824,344.766,201,-79.2,1.9,1,0,0,0
THA11,1.18,64.908,344.689,185.4,-54.2,2.5,1,0,0,0
THA12,1,64.94,344.649,138.7,-73.7,4.9,1,0,0,0
THA13,1,64.94,344.648,127.9,-75.9,4.6,1,0,0,0
THA4,1.22,64.887,344.706,94.9,-86.7,2.5,1,0,0,0
FV22,2.08,64.497,345.002,212,-71,2.9,1,0,0,0
FV21,2.1,64.493,345.01,226,-76,2.5,1,0,0,0
FV20,2.12,64.489,345.02,202,-70,2.7,1,0,0,0
FV19,2.13,64.487,345.024,206,-79,4.8,1,0,0,0
FV18,2.15,64.483,345.035,184,-74,1.9,1,0,0,0
FV17,2.15,64.482,345.035,296,-88,3.1,1,0,0,0
FV16,2.16,64.48,345.038,184,-81,2.6,1,0,0,0
FV15,2.16,64.48,345.039,138,-85,2.5,1,0,0,0
FV14,2.17,64.479,345.042,130,-72,3.2,1,0,0,0
FV13,2.18,64.476,345.044,229,-73,1.4,1,0,0,0
FV12,2.18,64.475,345.045,228,-70,2.9,1,0,0,0
FT36,3.09,64.358,345.344,145,-77,1.9,1,0,0,0
FT27,3.68,64.251,345.498,225,-74,3.3,1,0,0,0
FT26,3.66,64.255,345.494,232,-71,3.8,1,0,0,0
FT25,3.69,64.249,345.5,170,-81,2.7,1,0,0,0
FT24,3.71,64.245,345.505,166,-44,2.6,1,0,0,0
FT23,4.07,64.178,345.577,161,-60,1.9,1,0,0,0
FT22,4.07,64.178,345.578,116,-72,2.9,1,0,0,0
FT21,4.09,64.174,345.582,174,-80,2.8,1,0,0,0
FT20,4.09,64.174,345.583,217,-73,3.4,1,0,0,0
FT19,4.1,64.172,345.584,237,-71,3.9,1,0,0,0
FT18,4.11,64.17,345.587,153,-80,3.2,1,0,0,0
FT17,4.11,64.169,345.587,87,-87,3.6,1,0,0,0
FT16,4.12,64.167,345.589,181,-66,3.8,1,0,0,0
FT15,4.13,64.165,345.591,147,-78,2.5,1,0,0,0
FT14,4.15,64.161,345.596,153,-77,2.2,1,0,0,0
FT13,4.16,64.159,345.597,1,-85,2.7,1,0,0,0
FT12,4.17,64.158,345.6,229,-71,3.9,1,0,0,0
FT11,4.18,64.156,345.602,200,-79,5.4,1,0,0,0
FT10,4.19,64.154,345.603,213,-76,4.7,1,0,0,0
FT9,4.2,64.152,345.606,134,-57,2.4,1,0,0,0
