Site Tag,Site Age,Site Latitude (N),Site Longitude (E),Site Declination,Site Inclination,a95,Weight,Euler Pole Latitude (N),Euler Pole Longitude (E),Euler Pole Rotation Angle
AW21,0.476,17.021,334.614,2.9,25.4,5,1,0,0,0
AW22,0.477,17.021,334.613,355.9,24.2,3,1,0,0,0
AW23,0.477,17.021,334.613,31.2,33.2,4.3,1,0,0,0
AW25,0.477,17.021,334.613,357.3,30.3,5.1,1,0,0,0
AW26,0.477,17.021,334.613,349.1,31,3,1,0,0,0
AW27,0.477,17.021,334.613,339.6,18.5,6.2,1,0,0,0
AW28,0.477,17.021,334.613,344.8,17.8,5,1,0,0,0
AW29,0.477,17.021,334.613,340.5,17,2,1,0,0,0
AW30,0.477,17.021,334.613,351.6,55.5,2.9,1,0,0,0
AW32,0.477,17.021,334.613,0.7,36.3,2.8,1,0,0,0
AW33,0.477,17.021,334.613,19.1,42.3,2.5,1,0,0,0
M1,6.81,37.187,357.505,310.2,48.2,2.7,1,0,0,0
M2,7.15,37.237,357.102,349.5,65.6,2.7,1,0,0,0
M3,7.12,37.23,356.862,22.9,58.3,4.3,1,0,0,0
M4,6.76,37.503,357.177,326.3,17.3,4.7,1,0,0,0
M6,7.04,37.422,357.024,28,32.1,2.7,1,0,0,0
V2,6.44,36.297,356.891,314.1,67.8,3.1,1,0,0,0
DM1,2.7,41.117,43.362,8.6,63,3.9,1,0,0,0
DM6,2.7,41.117,43.362,2.6,64.3,3.3,1,0,0,0
DM8,2,41.189,43.777,3.3,79.8,6.2,1,0,0,0
DM9,2,41.189,43.777,14.5,71.9,4.5,1,0,0,0
DM10,2,41.189,43.777,13.9,75.9,2.7,1,0,0,0
DM11,2,41.189,43.777,14.9,75,4.2,1,0,0,0
DM13,2,41.199,43.777,19.4,75.5,3.1,1,0,0,0
DM14,2,41.199,43.777,358.4,67.8,5.2,1,0,0,0
DM15,2,41.199,43.777,10.2,72.7,5.2,1,0,0,0
DM16,2,41.199,43.777,4.6,69.8,3.5,1,0,0,0
DM17,2,41.199,43.777,11.7,70.3,5.9,1,0,0,0
DM18,2,41.199,43.787,8.4,73.8,6.6,1,0,0,0
DM20,2.33,41.244,43.444,11.9,55.6,6.3,1,0,0,0
DM21,2.33,41.244,43.444,11.8,58.3,4.9,1,0,0,0
AK16,2.73,41.231,42.695,359.5,50.8,4.6,1,0,0,0
AK18,2.73,41.231,42.695,3.7,53.1,3.7,1,0,0,0
al1,3,-46.423,51.417,332.2,-50.7,3.3,1,0,0,0
al13,3,-46.423,51.417,5.3,-70,3.9,1,0,0,0
al14,3,-46.423,51.417,11.1,-58.6,3.9,1,0,0,0
al15,3,-46.423,51.417,8.8,-53.1,2.5,1,0,0,0
al16,3,-46.423,51.417,350.5,-61,2,1,0,0,0
al2,3,-46.423,51.417,8.8,-68.5,2.5,1,0,0,0
al3,3,-46.423,51.417,356.5,-69,3.5,1,0,0,0
al5,3,-46.423,51.417,8.5,-70.1,3,1,0,0,0
al6,3,-46.423,51.417,357.8,-68.6,3.5,1,0,0,0
al7,3,-46.423,51.417,1.2,-71.1,3.5,1,0,0,0
al8,3,-46.423,51.417,352.4,-63.3,2.4,1,0,0,0
al9,3,-46.423,51.417,347.7,-66,2.1,1,0,0,0
cn11,0.64,-46.47,51.729,341,-61.7,6.1,1,0,0,0
cn14,0.64,-46.47,51.729,7.7,-66.2,4.6,1,0,0,0
cn15,0.64,-46.47,51.729,329.4,-74,7,1,0,0,0
pc12,0.64,-46.385,51.684,357.6,-76.1,3.2,1,0,0,0
pc13,0.64,-46.385,51.684,349.3,-55.1,5.6,1,0,0,0
GU01,1.02,15.975,298.152,-6.8,18.5,3.1,1,0,0,0
GU02,0.079,16.029,298.312,2.1,24.2,3.9,1,0,0,0
GU04,0.077,16.036,298.336,6.1,17.7,2.4,1,0,0,0
