Site Tag,Site Age,Site Latitude (N),Site Longitude (E),Site Declination,Site Inclination,a95,Weight,Euler Pole Latitude (N),Euler Pole Longitude (E),Euler Pole Rotation Angle
e19,5,53.88,191.92,203.43,-68.3,4.91,1,0,0,0
e20,5,53.88,191.92,204.73,-64.84,4.09,1,0,0,0
e15,5,53.88,191.92,179.3,-82.84,6.28,1,0,0,0
e17,5,53.88,191.92,193.46,-52.42,7.18,1,0,0,0
e18,5,53.88,191.92,156.45,-56.75,3.6,1,0,0,0
AT-3,5,-23.63,292.45,161.7,35.3,12,1,0,0,0
AT-25,5,-22.85,292.25,195.7,23.6,8.8,1,0,0,0
AT-15,5,-23.85,292.5,162.3,48.3,3.2,1,0,0,0
AT-42,5,-22.4,291.97,152.7,30.1,7.7,1,0,0,0
AT-53,5,-22.73,291.96,203.8,16.7,4.4,1,0,0,0
AT-18,5,-23.86,292.51,180,30,5.7,1,0,0,0
AT-37,5,-22.92,292.29,184.3,29.6,5.1,1,0,0,0
AT-38,5,-22.92,292.23,195.4,43.5,6.7,1,0,0,0
AT-24,5,-23.93,292.34,161.7,32,5.1,1,0,0,0
AT-16,5,-23.85,292.5,182.5,66.9,3,1,0,0,0
AT-8,5,-23.49,292.27,179.3,47.3,3.8,1,0,0,0
AT-26,5,-22.72,292.2,178.1,23.5,2.8,1,0,0,0
AT-44,5,-22.59,291.99,177.5,20.8,4.4,1,0,0,0
AT-20,5,-23.91,292.44,171.8,8.8,1.8,1,0,0,0
AT-2,5,-23.65,292.46,182.6,41.6,3.8,1,0,0,0
AT-35,5,-23.12,292.5,188.3,44.5,4.5,1,0,0,0
AT-50,5,-23.49,292.01,181.3,18.6,3.2,1,0,0,0
AT-5,5,-23.61,292.43,198.2,36.7,2.7,1,0,0,0
AT-34,5,-23.21,292.83,202.9,46.2,10,1,0,0,0
AT-32,5,-23.32,292.17,178.4,25,3.2,1,0,0,0
AT-19,5,-23.91,292.44,181.2,20.6,1.4,1,0,0,0
AT-28,5,-22.66,292.44,178.6,21.7,2.5,1,0,0,0
AT-33,5,-23.28,292.01,185.8,67.2,2.1,1,0,0,0
11,5,-37.7,144.7,179.1,55.4,4.4,1,0,0,0
6,5,-37.8,144.6,183.6,59.3,6.3,1,0,0,0
