Site Tag,Site Age,Site Latitude (N),Site Longitude (E),Site Declination,Site Inclination,a95,Weight,Euler Pole Latitude (N),Euler Pole Longitude (E),Euler Pole Rotation Angle
f2,5,53.88,191.9,347.86,64.59,1.37,1,0,0,0
d6,5,53.97,193.1,348.2,65.41,1.73,1,0,0,0
d3,5,53.97,193.1,10.76,65.12,1.74,1,0,0,0
b6,5,51.9,182.9,13.13,69.6,1.87,1,0,0,0
b9,5,51.9,182.9,5.7,73.25,2.02,1,0,0,0
c5,5,51.9,182.9,343.47,66.18,2.02,1,0,0,0
a2,5,53.38,191.92,33.54,77.27,2.13,1,0,0,0
a15,5,53.38,191.92,347.72,64.23,2.48,1,0,0,0
a3,5,53.38,191.92,45.12,74.77,2.58,1,0,0,0
d4,5,53.97,193.1,16.21,67.8,2.64,1,0,0,0
b12,5,51.9,182.9,0.88,73.04,2.8,1,0,0,0
f13,5,53.88,191.9,341.4,69.11,2.93,1,0,0,0
d15,5,53.97,193.1,1.26,78.76,2.96,1,0,0,0
f16,5,53.88,191.9,319.2,67.4,3,1,0,0,0
d11,5,53.97,193.1,350.15,66.27,3.03,1,0,0,0
d19,5,53.97,193.1,25.7,70.7,3.1,1,0,0,0
b13,5,51.9,182.9,4.84,74.25,3.17,1,0,0,0
c6,5,51.9,182.9,354.5,65.5,3.2,1,0,0,0
f4,5,53.88,191.9,344.15,63.18,3.27,1,0,0,0
f11,5,53.88,191.9,340.59,64.65,3.36,1,0,0,0
a6,5,53.38,191.92,359.03,68.37,3.37,1,0,0,0
b2,5,51.9,182.9,9.43,65.75,3.43,1,0,0,0
a7,5,53.38,191.92,358.47,71.39,3.46,1,0,0,0
f9,5,53.88,191.9,348.49,69.4,3.54,1,0,0,0
d8,5,53.97,193.1,347.05,66.96,3.55,1,0,0,0
f3,5,53.88,191.9,0.56,63.93,3.57,1,0,0,0
d9,5,53.97,193.1,343.11,64.54,3.68,1,0,0,0
d5,5,53.97,193.1,348.22,66.24,3.8,1,0,0,0
d16,5,53.97,193.1,358.7,80.24,3.97,1,0,0,0
d17,5,53.97,193.1,23.73,75.64,3.98,1,0,0,0
d10,5,53.97,193.1,350.6,62.78,4.03,1,0,0,0
c3,5,51.9,182.9,353.39,61.38,4.07,1,0,0,0
a9,5,53.38,191.92,358.82,78.34,4.1,1,0,0,0
d13,5,53.97,193.1,5.5,54.8,4.2,1,0,0,0
f14,5,53.88,191.9,337.3,67.3,4.2,1,0,0,0
b5,5,51.9,182.9,3.81,76.89,4.26,1,0,0,0
c4,5,51.9,182.9,357.81,65.54,4.35,1,0,0,0
d2,5,53.97,193.1,8.26,68.2,4.36,1,0,0,0
a10,5,53.38,191.92,354.6,61.1,4.5,1,0,0,0
f7,5,53.88,191.9,349.22,64.89,4.55,1,0,0,0
b7,5,51.9,182.9,17.47,67.84,4.56,1,0,0,0
a1,5,53.38,191.92,343.53,57.93,4.6,1,0,0,0
a11,5,53.38,191.92,339.1,62.19,4.62,1,0,0,0
a14,5,53.38,191.92,355.61,69.7,4.63,1,0,0,0
c2,5,51.9,182.9,10.3,69,4.7,1,0,0,0
d20,5,53.97,193.1,16.94,64.76,4.76,1,0,0,0
b11,5,51.9,182.9,359.09,72.31,4.76,1,0,0,0
a13,5,53.38,191.92,352.06,61.47,5,1,0,0,0
f15,5,53.88,191.9,330.8,70.6,5.1,1,0,0,0
a12,5,53.38,191.92,348.81,63.38,5.12,1,0,0,0
d21,5,53.97,193.1,351.09,47.99,5.19,1,0,0,0
d7,5,53.97,193.1,346.46,63.5,5.28,1,0,0,0
d12,5,53.97,193.1,7.6,46.53,5.36,1,0,0,0
d14,5,53.97,193.1,2.1,78.2,5.4,1,0,0,0
f6,5,53.88,191.9,351.07,66.6,5.45,1,0,0,0
f17,5,53.88,191.9,335.8,58.02,5.68,1,0,0,0
c7,5,51.9,182.9,353.8,75.5,5.7,1,0,0,0
b1,5,51.9,182.9,13.51,66.59,6.35,1,0,0,0
b3,5,51.9,182.9,3.99,74.16,6.76,1,0,0,0
a5,5,53.38,191.92,340.69,60.59,6.85,1,0,0,0
f5,5,53.88,191.9,358.28,62.04,6.97,1,0,0,0
b10,5,51.9,182.9,12.73,72.15,6.98,1,0,0,0
b14,5,51.9,182.9,9.88,77.12,7,1,0,0,0
f18,5,53.88,191.9,343.7,57.3,7,1,0,0,0
b8,5,51.9,182.9,353.06,74.52,7.53,1,0,0,0
c1,5,51.9,182.9,3.59,68.65,7.66,1,0,0,0
d18,5,53.97,193.1,36.4,78.7,7.8,1,0,0,0
f10,5,53.88,191.9,359.14,67.38,8.04,1,0,0,0
f12,5,53.88,191.9,341.31,62.76,8.43,1,0,0,0
a4,5,53.38,191.92,33.6,82.3,10.8,1,0,0,0
b4,5,51.9,182.9,21.4,73.03,12.13,1,0,0,0
AT-7,5,-23.53,292.38,349.6,-39.6,8.7,1,0,0,0
AT-1,5,-23.51,292.31,345.2,-38.5,14.5,1,0,0,0
AT-39,5,-23.33,292.22,347.3,-33.7,5,1,0,0,0
AT-52,5,-22.69,292.01,23.9,-21.1,7.1,1,0,0,0
AT-11,5,-23.45,292.22,312.1,-18.6,7.2,1,0,0,0
AT-21,5,-23.9,292.45,312.2,-20.5,10.6,1,0,0,0
AT-30,5,-22.87,291.73,333.8,-49.2,8.1,1,0,0,0
AT-49,5,-23.91,292.32,355.4,-46.6,8.4,1,0,0,0
AT-27,5,-22.6,292.44,320.7,-46.5,3.2,1,0,0,0
AT-31,5,-22.88,291.97,342.4,-53.5,4.2,1,0,0,0
AT-43,5,-22.45,292,317.8,-44.9,3.8,1,0,0,0
31,5,-37.9,142.3,333.2,-45.2,12.2,1,0,0,0
37,5,-37.5,144.8,29,-61.6,2.7,1,0,0,0
9,5,-37.7,144.8,27.6,-64.6,1.5,1,0,0,0
29,5,-38.2,141.8,17.3,-69.7,4.2,1,0,0,0
26,5,-38.2,142.7,6,-72.1,3.8,1,0,0,0
25,5,-38.2,142.7,359.1,-71.2,5.9,1,0,0,0
14,5,-37.6,144.8,13.7,-62.4,2.1,1,0,0,0
30,5,-38.2,142.1,352.9,-65.5,2.9,1,0,0,0
40,5,-37.4,144.3,350.2,-50.4,8,1,0,0,0
42,5,-37.6,144.3,349.3,-60.6,2.2,1,0,0,0
12,5,-37.7,144.4,4.7,-63,1.8,1,0,0,0
22,5,-38.3,143.6,7.3,-53.4,4.7,1,0,0,0
13,5,-37.6,144.8,353.3,-55.4,4.4,1,0,0,0
10,5,-37.7,144.8,5.9,-55.8,2.2,1,0,0,0
az09,5,37.7158,-25.4867,8.8,17.8,2.3,1,0,0,0
az02,5,37.8035,-25.8025,325.1,62.9,5.5,1,0,0,0
az22,5,37.8237,-25.1357,332,69.6,2.7,1,0,0,0
az01,5,37.8035,-25.8025,11.9,29.3,4.4,1,0,0,0
az07,5,37.88,-25.77,27.9,51,10.4,1,0,0,0
az38,5,37.741,-25.5825,20.1,47.1,2.3,1,0,0,0
az10,5,37.7305,-25.3123,344.4,41.7,4.2,1,0,0,0
az29,5,37.792,-25.5807,6.5,36.5,2.1,1,0,0,0
az33,5,37.763,-25.535,352.5,40,2.4,1,0,0,0
az15,5,37.7857,-25.1433,11.1,67.4,1.4,1,0,0,0
az20,5,37.8108,-25.1438,348.5,47.7,2.9,1,0,0,0
az32,5,37.8275,-25.521,346,54.5,7.8,1,0,0,0
az03,5,37.8982,-25.8142,351.2,48.5,2.2,1,0,0,0
az36,5,37.804,-25.6415,11.3,54,2.5,1,0,0,0
az11,5,37.8358,-25.5147,12.1,58.5,3.1,1,0,0,0
az08,5,37.8422,-25.151,8,50.9,2.5,1,0,0,0
az37,5,37.8042,-25.658,2,48.2,1.9,1,0,0,0
az04,5,37.8585,-25.8527,5.6,60.7,4.3,1,0,0,0
az31,5,37.8203,-25.539,352.8,57,4.9,1,0,0,0
az12,5,37.833,-25.3827,354,59.6,3.3,1,0,0,0
az30,5,37.8182,-25.5125,3.1,59.1,3.1,1,0,0,0
az34,5,37.733,-25.52,358,56.4,2.8,1,0,0,0
29-2,5,49.83,-119.75,345.9,77.6,1.7,1,0,0,0
25-5,5,51.73,-120.01,341.9,70,1.9,1,0,0,0
29-3,5,49.83,-119.75,343.3,76.4,1.9,1,0,0,0
25-3,5,51.73,-120.01,329.7,64,2,1,0,0,0
