Site Tag,Site Age,Site Latitude (N),Site Longitude (E),Site Declination,Site Inclination,a95,Weight,Euler Pole Latitude (N),Euler Pole Longitude (E),Euler Pole Rotation Angle
19,1270,63.02,14.95,39.8,-37.5,7.1,1,47.5,1.5,49
20,1270,62.85,14.53,29,-26,6,1,47.5,1.5,49
21,1270,62.64,15.78,37.2,-28.9,13.1,1,47.5,1.5,49
22,1270,62.64,15.94,46.8,-58.7,12.1,1,47.5,1.5,49
23,1270,62.59,14.5,46,-18,8,1,47.5,1.5,49
24,1270,62.51,16.03,44.7,-59.2,9.6,1,47.5,1.5,49
25,1270,62.4,14.5,31,-19,8,1,47.5,1.5,49
26,1270,62.38,15.47,61.2,-73.3,5.3,1,47.5,1.5,49
27,1270,62.33,16.31,32.2,-40.1,14.4,1,47.5,1.5,49
28,1270,62.24,15.09,28,-16,7,1,47.5,1.5,49
29,1270,62.06,14.5,28,-34,4,1,47.5,1.5,49
30,1270,60.8,17.4,24.7,-16.9,6.8,1,47.5,1.5,49
31,1270,60.7,17.4,11.3,-19.2,3.7,1,47.5,1.5,49
32,1270,61.1,21.9,39.5,-40.8,5.5,1,47.5,1.5,49
33,1270,61.1,22.1,46.3,-37.6,2.8,1,47.5,1.5,49
34,1270,61.1,22.2,53.2,-36.6,4.8,1,47.5,1.5,49
35,1270,61.3,21.9,41.8,-48.8,7.4,1,47.5,1.5,49
36,1270,61.4,21.7,47.4,-44.5,4.4,1,47.5,1.5,49
37,1270,61.3,21.7,42.8,-36.4,4.1,1,47.5,1.5,49
38,1270,61.3,21.8,41.4,-36.7,5.6,1,47.5,1.5,49
