Site Tag,Site Age,Site Latitude (N),Site Longitude (E),Site Declination,Site Inclination,a95,Weight,Euler Pole Latitude (N),Euler Pole Longitude (E),Euler Pole Rotation Angle
HT26,2450,49.5,-82.75,26.6,34.4,12,1,0,0,0
MC19,2450,48.78,-84.87,0.9,44.9,5.6,1,0,0,0
W,2450,48.4,-80.2,23,14,8.1,1,0,0,0
8,2450,48.6,-80.2,21,11,7.1,1,0,0,0
13,2450,48.1,-81.6,26,29,3.5,1,0,0,0
15,2450,48,-80.25,30,18,14.6,1,0,0,0
16,2450,48.3,-81.6,40,29,9.4,1,0,0,0
18,2450,47.75,-81.6,35,19,5.4,1,0,0,0
20,2450,48,-80.75,30,16,8.6,1,0,0,0
22,2450,48,-80.7,21,6,5.4,1,0,0,0
143,2450,46.7,-83.07,27,8,9,1,0,0,0
32,2450,47.18,-83.82,47.8,26.7,8.6,1,0,0,0
41,2450,47.02,-83.57,30.4,24.5,4,1,0,0,0
43,2450,47.03,-83.55,25.4,6.4,2.5,1,0,0,0
45,2450,47.01,-83.51,20.6,4.2,12.8,1,0,0,0
RL1W,2450,46.91,-83.22,24.1,-9.5,10.5,1,0,0,0
RL3,2450,46.88,-83.12,26.5,13.1,2.5,1,0,0,0
RL4,2450,46.91,-83.09,21.8,-0.4,4.9,1,0,0,0
RL9,2450,46.91,-83.09,39.3,4.7,9.7,1,0,0,0
RL13,2450,46.91,-83.03,26,-6.3,7.9,1,0,0,0
RL15,2450,46.92,-83.01,23,7.7,9.4,1,0,0,0
RL16,2450,46.93,-82.96,36.4,16.2,10.8,1,0,0,0
RL17,2450,46.93,-82.95,21.6,-3.3,8.3,1,0,0,0
RL18,2450,46.93,-82.97,38.8,9.6,10.5,1,0,0,0
RL22,2450,46.91,-83.25,27,5.4,5.5,1,0,0,0
RL23,2450,46.85,-83.32,25.4,1,6.1,1,0,0,0
RL25,2450,46.94,-82.91,29.8,14.2,14.9,1,0,0,0
RL26,2450,46.94,-82.91,34.5,6.8,4.5,1,0,0,0
RL27,2450,46.94,-82.91,24.7,14.7,7,1,0,0,0
RL29,2450,46.93,-82.86,27,14.1,14,1,0,0,0
WL4,2450,47.45,-83.1,31.4,12.7,12.5,1,0,0,0
WL5,2450,47.45,-83.09,36.7,5.9,11.8,1,0,0,0
5,2450,48.03,-80.04,17.4,20.4,4.1,1,0,0,0
7,2450,48.06,-80.24,26.8,29.8,4.8,1,0,0,0
8,2450,48.06,-80.23,39.3,27.7,5.8,1,0,0,0
10,2450,48.01,-80.18,20,25.9,7.8,1,0,0,0
12,2450,48.02,-80.16,35.5,12.2,13.2,1,0,0,0
14,2450,48.01,-80.26,22.9,17.4,4.2,1,0,0,0
16,2450,48.08,-80.11,37.7,12.9,7.1,1,0,0,0
17,2450,48.07,-80.11,35.4,20.1,14.1,1,0,0,0
18,2450,48.06,-80.02,31.3,12.8,7.2,1,0,0,0
19,2450,48.08,-80.15,37.5,23.8,10.3,1,0,0,0
22,2450,48.03,-80.34,20,4.2,12.4,1,0,0,0
24,2450,47.95,-80.6,35.4,-6.9,13.2,1,0,0,0
TM3,2450,48.27,-81.58,27.3,16.9,9.9,1,0,0,0
TM8,2450,48.11,-81.6,36.7,21.7,12.8,1,0,0,0
TM12,2450,47.79,-81.58,31.4,16.1,7.3,1,0,0,0
TM13,2450,47.79,-81.58,36.5,11.1,9.3,1,0,0,0
TM14,2450,47.76,-81.6,24.6,27.6,14,1,0,0,0
